t=0  theta1=0  theta2=0  energy=0
t=0.1  theta1=-0.0170756  theta2=0.173121  energy=1.1706
t=0.2  theta1=0.180359  theta2=0.0314672  energy=3.2252
t=0.3  theta1=0.26988  theta2=0.0695201  energy=3.43091
t=0.4  theta1=0.397679  theta2=0.122657  energy=2.93705
t=0.5  theta1=0.706757  theta2=-0.0341737  energy=4.65538
t=0.6  theta1=0.562557  theta2=-0.1861  energy=2.96248
t=0.7  theta1=0.609579  theta2=-0.323406  energy=4.14907
t=0.8  theta1=0.542041  theta2=-0.330082  energy=5.08342
t=0.9  theta1=0.103202  theta2=-0.474076  energy=3.54911
t=1  theta1=0.203608  theta2=-0.450052  energy=3.17678
t=1.1  theta1=0.0186435  theta2=-0.334903  energy=3.22458
t=1.2  theta1=0.10189  theta2=-0.225989  energy=3.68659
t=1.3  theta1=-0.316246  theta2=-0.179662  energy=3.95648
t=1.4  theta1=-0.60518  theta2=-0.0310006  energy=4.31808
t=1.5  theta1=-0.718725  theta2=-0.141355  energy=5.63926
t=1.6  theta1=-0.68264  theta2=0.113936  energy=4.88304
t=1.7  theta1=-0.617299  theta2=0.22515  energy=5.30653
t=1.8  theta1=-0.554593  theta2=0.292483  energy=5.92541
t=1.9  theta1=-0.411324  theta2=0.30111  energy=6.11754
t=2  theta1=-0.0754852  theta2=0.28102  energy=5.16616
t=2.1  theta1=0.232034  theta2=0.386945  energy=4.43397
t=2.2  theta1=0.434618  theta2=0.438352  energy=4.26044
t=2.3  theta1=0.495498  theta2=0.220403  energy=3.35491
t=2.4  theta1=0.666716  theta2=0.0661523  energy=4.44361
t=2.5  theta1=0.716717  theta2=0.000832744  energy=5.30963
t=2.6  theta1=0.764659  theta2=-0.102174  energy=6.82424
t=2.7  theta1=0.485593  theta2=-0.212271  energy=4.45671
t=2.8  theta1=0.324418  theta2=-0.499097  energy=3.17871
t=2.9  theta1=0.230237  theta2=-0.48266  energy=2.71901
t=3  theta1=-0.0272459  theta2=-0.531308  energy=2.90925
t=3.1  theta1=-0.167  theta2=-0.343047  energy=2.33969
t=3.2  theta1=-0.344233  theta2=-0.341302  energy=3.2597
t=3.3  theta1=-0.314096  theta2=-0.297348  energy=2.27904
t=3.4  theta1=-0.363183  theta2=-0.0419954  energy=2.05109
t=3.5  theta1=-0.569923  theta2=0.054871  energy=3.06693
t=3.6  theta1=-0.627717  theta2=0.12796  energy=3.73846
t=3.7  theta1=-0.621481  theta2=0.103522  energy=5.17571
t=3.8  theta1=-0.588649  theta2=0.367955  energy=5.6442
t=3.9  theta1=-0.373092  theta2=0.43255  energy=4.89122
t=4  theta1=-0.192814  theta2=0.505538  energy=5.23022
t=4.1  theta1=0.0238625  theta2=0.542413  energy=4.36618
t=4.2  theta1=0.26914  theta2=0.51506  energy=4.64635
t=4.3  theta1=0.63105  theta2=0.536838  energy=6.48459
t=4.4  theta1=0.515512  theta2=0.307525  energy=3.68503
t=4.5  theta1=0.465078  theta2=0.039457  energy=2.28558
t=4.6  theta1=0.186018  theta2=-0.121212  energy=0.417782
t=4.7  theta1=0.221855  theta2=-0.226508  energy=0.439337
t=4.8  theta1=0.296037  theta2=-0.355216  energy=0.821368
t=4.9  theta1=0.12311  theta2=-0.417266  energy=1.19162
